datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 09:30:00-05:00,100000.0,101940.1000366211,0.0
2020-02-05 09:30:00-05:00,99971.67999267578,101940.1000366211,-0.00028320007324222907
2020-02-06 09:30:00-05:00,99946.48010253906,101940.1000366211,-0.0002520702876911418
2020-02-07 09:30:00-05:00,99936.64001464844,101940.1000366211,-9.845357115656483e-05
2020-02-08 09:30:00-05:00,99943.17999267578,101940.1000366211,6.544124383589534e-05
2020-02-10 09:30:00-05:00,99943.17999267578,101940.1000366211,0.0
2020-02-11 09:30:00-05:00,99952.71997070312,103927.48010253906,9.545401725308267e-05
2020-02-12 09:30:00-05:00,99893.56005859375,103927.48010253906,-0.0005918789616402576
2020-02-13 09:30:00-05:00,99885.52026367188,103927.48010253906,-8.048361593238074e-05
2020-02-14 09:30:00-05:00,99897.16027832031,105942.64001464844,0.00011653355378937746
2020-02-15 09:30:00-05:00,99867.45983886719,105942.64001464844,-0.0002973101474593731
2020-02-18 09:30:00-05:00,99867.45983886719,105942.64001464844,0.0
2020-02-19 09:30:00-05:00,99885.45983886719,105942.64001464844,0.00018023888891383066
2020-02-20 09:30:00-05:00,99862.41986083984,105942.64001464844,-0.00023066398317139747
2020-02-21 09:30:00-05:00,99863.32019042969,105942.64001464844,9.01569971056837e-06
2020-02-22 09:30:00-05:00,99904.17999267578,105942.64001464844,0.00040915725782175727
2020-02-24 09:30:00-05:00,99904.17999267578,105942.64001464844,0.0
2020-02-25 09:30:00-05:00,100126.11975097656,105942.64001464844,0.002221526249623018
2020-02-26 09:30:00-05:00,100111.71997070312,105942.64001464844,-0.00014381642182126342
2020-02-27 09:30:00-05:00,100287.40014648438,105942.64001464844,0.0017548412496823929
2020-02-28 09:30:00-05:00,100444.36016845703,105942.64001464844,0.0015651021139584387
2020-02-29 09:30:00-05:00,100746.03979492188,105942.64001464844,0.0030034501285973736
2020-03-02 09:30:00-05:00,100746.03979492188,105942.64001464844,0.0
2020-03-03 09:30:00-05:00,100574.86016845703,105942.64001464844,-0.0016991201521499022
2020-03-04 09:30:00-05:00,100371.64001464844,105942.64001464844,-0.002020585994036761
2020-03-05 09:30:00-05:00,100432.48010253906,105942.64001464844,0.000606148189685296
2020-03-06 09:30:00-05:00,100452.99981689453,105942.64001464844,0.00020431352819838544
2020-03-07 09:30:00-05:00,100665.94012451172,107994.68997192383,0.0021198003843123647
